Topic,Count,Name,Representation,Representative_Docs
39,70,39_proyek_manajemen proyek_kerja proyek_risiko,"['proyek', 'manajemen proyek', 'kerja proyek', 'risiko', 'evm', 'laksana proyek', 'jadwal proyek', 'pim', 'estimasi biaya', 'manajer']","['anaking jimat awaking usaha gerak bidang sedia jasa kontruksi bidang bangun kembang laksana proyek laksana proyek masalah sebab faktor jadwal spesifik tunjuk hubung kegitan giat perhati resiko resiko pengaruh jala proyek estimasi biaya usaha tunjuk hubung giat capai lapang biaya keluar masalah butuh manajemen proyek langsung proyek masalah urai atas mangatasi masalah butuh precedence diagraming methode pdm jadwal proyek probability impact matrix pim analis peluang muncul resiko dampak earned value management evm evm mudah kendali estimasi biaya proyek manajemen proyek jadwal proyek menganalisa resiko lapang dampak negatif laksana proyek tangan estimasi biaya kerja proyek', 'mukti jaya usaha gerak bidang jasa konstruksi proyek masalah sebab faktor jadwal kerja baku hubung kerja kerja lambat jalan proyek tanggung teknis awas sesuai kerja proyek rencana segi biaya manajemen risiko identifikasi hitung biaya risiko hambat jalan proyek masalah butuh information manajemen proyek tangan jadwal rencana proyek awas biaya kelola risiko critical path cpm rencana jadwal temu jalur kritis proyek earned value management evm awas biaya proyek identifikasi risiko serta tingkat risiko muncul probability impact matrix pim hitung biaya risiko earn value management emv wawancara penanggungjawab teknis rencana jadwal proyek jalur kritis kerja kerja tunda awas proyek sesuai rencana segi biaya identifikasi risiko serta biaya proyek proyek laksana', 'tiloe putra perkasa usaha gerak bidang dagang jasa konstruksi bidang bangun kembang rencana laksana konstruksi sebab lambat proyek tiloe putra perkasa abai risiko dampak negatif laksana proyek catat solusi tangan jadwal manajer proyek tunjuk spesifik hubung kerja kendali biaya banding biaya aktual biaya rencana banding capai kerja masalah tiloe putra perkasa butuh bangun rencana awas kerja proyek information manajemen proyek probability impact matrix pim analis peluang muncul risiko dampak kerja precedence diagramming pdm rencana jadwal proyek hubung giat earned value management evm awas kerja proyek sesuai rencana time cost trade tcto manajemen cepat proyek analisis jalan sesuai tuju manajer proyek identifikasi risiko dampak negatif laksana proyek manajer proyek jadwal manajer proyek hitung biaya proyek mudah evaluasi maju proyek manajer proyek tindak kendali cepat proyek alternatif tambah jam lembur']"
40,70,40_elearning_lms_application elearning_gamification,"['elearning', 'lms', 'application elearning', 'gamification', 'kursus', 'pemrograman dasar', 'ajar pemrograman', 'merdeka', 'ajar ajar', 'iklan']","['ilmu pemrograman ilmu asai ilmu pemrograman indonesia batas sekolah tengah juru smk application ajar pemrograman sedia indonesia kurang application desain kompleks rendah tingkat interaktif sedia application ajar pemrograman interaktif application sedia desain interaksi efektif nyaman application terap elemen gamifikasi tingkat tingkat interaktif motivasi user ajar activity-centered design acd struktur aktivitas ajar pemrograman application progate cocok acd identifikasi konflik aktivitas utama ajar pemrograman buat prototipe high-fidelity iterasi penuh usability goals effective use easy learn serta user experience goals engaging motivating usability kuesioner completion rate usability scale sus single ease question seq intrinsic motivation inventory imi user engagement scale-short form ues-sf prototipe high-fidelity prototipe hasil capai usability goals effective use easy learn serta user experience goals engaging motivating completion rate rata sus ratarata seq rata imi sub skala interest enjoyment rata ues-sf ukur desain interaksi application ajar pemrograman masalah angkat', 'elearning singkat electronic learning ajar ajar media elektronik internet ajar elearning tunjang ajar ajar guna elearning fungsi guru materi ajar guru halang hadir kelas siswa ajar individu masalah sman bandung diataranya giat ajar ajar guru murid kelas tatap muka batas ajar ajar komunikasi guru murid sulit wujud sekolah kepala sekolah sulit information mampu siswa cepat akurat application elearning web sarana ajar sma negeri bandung metodologi metodologi analisis deskriptif metodologi analisis deskriptif gambar fakta information situasi jadi sistematis faktual akurat metodologi milik tahap tahap observasi wawancara literatur tahap kembang perangkat lunak adopsi model waterfall analisis ancang buat konvensional pemrograman server side php action script application sarana dukung ajar fasilitas guru distribusi materi batas jarak komunikasi guru siswa forum diskusi mudah guru distribusi materi ajar kepala sekolah resume mampu siswa uji online dashboard sesuai butuh guru siswa', 'edukasi edukasi pemrograman masyarakat iring kembang teknologi ajar pemrograman tatap muka rasa efektif kembang application elearning fasilitas ajar application milik kurang bosan motivasi user ajar atas buat desain interaksi application ajar pemrograman gamifikasi level process bar poin social interaction challenge prototipe desain interaksi bantu kakas adobe analisis desain interaksi milik usability goals effective use easy learn sisi user experience goals milik motivating enjoyable helpful kuesioner sus usability scale kuesioner seq single ease question kuesioner imi intrinsic motivation inventory observasi wawancara high-fidelity prototipe high-fidelity capai usability goals effective use tanda completion task easy learn tanda learning curve turun user experience goals motivating enjoyable helpful capai prototipe tanda rata skor imi maksimum sub skala interest enjoyment sub skala value usefulness sub skala pressure tension prototipe user motivasi ajar']"
41,69,41_musik_lagu_gitar_nada,"['musik', 'lagu', 'gitar', 'nada', 'lirik', 'lirik lagu', 'genre', 'music', 'alat musik', 'dengar']","['musik hidup manusia senang tingkat mood indonesia tempat peringkat ke- dunia pasar musik streaming juni statista gmbh smartphone medium utama akses musik baru cari musik sesuai preferensi internet seringkali dengar musik rasa bosan musik dengar sulit cari musik sesuai genre suka butuh klasifikasi musik sesuai genre nikmat musik guna prediksi jenis genre musik lagu suka temu musik temu coba kembang klasifikasi genre musik manfaat short-time fourier transform stft model decision tree personal taut playlist musik mikrofon laptop alat oleh sinyal audio fokus ekstraksi fitur audio identifikasi genre musik otomatis stft konversi analis sinyal audio model decision tree klasifikasi genre musik fitur-fitur ekstrak dataset gtzan training memvalidasi akurasi model libat tahap utama oleh sinyal audio mikrofon laptop ekstraksi fitur stft tampil spektrogram klasifikasi genre musik model decision tree fitur ekstraksi stft librosa python jupyter notebook tahap jalan training latih rata akurasi training decision tree training simpan tahap klasifikasi librosa sounddevice peran oleh rekam audio output prediksi genre musik taut playlist sesuai genre tampil website streamlit simpul kombinasi stft model decision tree prediksi genre', 'campursari jenis lagu jawa ragam seni ciri khas masyarakat masyarakat wilayah jawa timur didi kempot musisi kembang musik campursari lagu cipta didi kempot juluk ldquo patah hati nasional rdquo ldquo godfather broken heart rdquo lirik lagu didi kempot wakil asa rundung kasmaran gagal jalin hubung asmara lirik jadi acu klasifikasi tingkat sedih lagu karakteristik lirik lagu kelompok kategori sedih sedih sedih text mining analisis sentimen solusi kategori lagu otomatis analisis sentimen tingkat sedih lagu didi kempot support vector machine svm dataset lirik terjemah google pakar bahasa sembilan skenario banding training skenario puluh coba hitung rata klasifikasi tinggi klasifikasi terjemah pakar bahasa tinggi skenario banding rata akurasi presisi recall', 'dengar lagu giat manusia manusia lagu seni nada suara milik unsur urut syair kombinasi gabung alat musik syair lirik lagu isi bait milik makna sendiri syair lagu kembang lagu tambah maju cinta musik lagu suka lagu musik smartphone suka lagu dengar lagu online offline banyak lagu cinta musik batas pilih lagu putar musik butuh inovasi mudah cari lagu lirik sesuai user cinta musik selesai bentuk oleh information model rekomendasi lagu seleksi lagu otomatis lirik mudah user cari lagu model rekomendasi lagu ngram unigram bigram trigram cosine similarity lirik lagu tahap preprocessing tahap term frequency inverse document frequency tfidf kata lirik lagu seleksi keluar rekomendasi lagu evaluasi daftar rekomendasi lagu baik unigram precision mean average precision map']"
42,68,42_user interface_interface user_antarmuka_design,"['user interface', 'interface user', 'antarmuka', 'design', 'design thinking', 'desain', 'user experience', 'interface', 'user centered', 'thinking']","['fokus desain user interface user experience website bank bangun daerah bpd bal metodologi user centered design ucd alat evaluasi usability scale sus rumus analis rancang baik alam user website bpd bal nilai muas evaluasi sus nilai tingkat usability website ancang evaluasi ancang prototipe user centered design ucd libat partisipasi user desain kuesioner feedback ancang integrasi butuh user efektif desain signifikan usability puas user implementasi prototipe skor sus tingkat kategori poor kategori good tanda ucd efektif tingkat kualitas', 'bahas ancang antarmuka user alam user admin application pantau mobile design thinking application pantau sedia information lokal lapor cegat jual beli lowong kerja fokus desain tampil alur interaksi mudah admin kelola lapor tata efisien desain ikut tahap design thinking empathize define ideate prototype tahap empathize kuesioner paham kendala hadap admin prototipe usability scale sus evaluasi mudah guna skor sus kategori rentang acceptable desain admin application pantau penuh standar nyaman fungsionalitas dasar milik ruang baik', 'rancang evaluasi desain user interface user experience application mobile dopadu olah sektor padu saji publik kabupaten gunungkidul padu application dukung buka information publik tingkat efisiensi layan mudah akses masyarakat pegawai perintah design thinking libat tahap utama empathize define ideate prototype prototipe application figma cipta antarmuka intuitif responsif ramah user fitur utama application akses sektor service adu online integrasi lapor lacak menara network information publik berita agenda kini usability usability scale sus evaluasi efektivitas nyaman application perspektif user skor sus kategori acceptable kontribusi bentuk prototipe application relevan butuh masyarakat kabupaten gunungkidul application dopadu tingkat partisipasi masyarakat awas perintah model kembang application daerah']"
43,68,43_resep_cerita rakyat_brand_rakyat,"['resep', 'cerita rakyat', 'brand', 'rakyat', 'golek', 'ikan nila', 'wayang', 'customer service', 'loyalty', 'lomba']","['kembang jual beli online pesat kembang teknologi minat masyarakat mudah jual beli online minat kembang jual beli barang information lengkap pengaruh efisiensi media mudah media internet application tampung butuh user web portal web portal hak akses user buyer beli user seller jual user grosir setia user milik hak akses beda beda sesuai butuh user jual user seller user grosir pamer barang serta informasi hemat jual barang khusus barang beli barang user buyer cari information barang transaksi beli online buat application jalan analisis dasar desain implementasi implementasi selesai uji coba tahap verifikasi validasi verifikasi validasi application penuh butuh user buyer user seller user grosir', 'budaya asing kembang indonesia pakai makan gaya hidup buku cerita anak dominasi budaya asing populer cerita asing indonesia imbas jarang cerita rakyat akses lingkung anak indonesia fenomena alternative angkat cerita rakyat muka akses mudah media dukung media mobile manfaat maju teknologi mobile android populer masyarakat indonesia buat application konten multimedia tema pustaka cerita rakyat kenal cerita rakyat anak indonesia application tampil cerita rakyat bentuk tarik tampil intisari cerita kandung moral cerita application pustaka cerita rakyat android user user frontend user backend user frontend pakai application mobile user frontend tampil multimedia application tampil animasi teks serta narasi ilustrasi gambar cerita rakyat user backend application dukung suplai sumber application frontend application hadir application multimedia animasi teks narasi ilustrasi gambar application edukasi anak cerita rakyat syarat nilai moral', 'seni wayang golek bentuk tunjuk boneka kayu ukir karakter sunda iring kembang jaman seni wayang golek tinggal upaya lestari seni wayang golek museum museum kenal karakter wayang golek kenal museum wayang museum wayang letak jalan pintu utara jakarta kota museum pamer jenis bentuk wayang indonesia mancanegara buat kayu kulit bahan information unjung museum wayang media kotak information kenal karakter seni wayang golek information karakter wayang detail media cetak kotak information museum wayang sedia tour guide information karakter wayang golek unjung museum unjung museum damping tour guide jelas karakter wayang application arwayanggolek unjung museum wayang information wayang golek detail cepat mudah application teknologi mobile augmented reality android markerless tracking kenal markerless objek tracking objek markerless wajah karakter wayang golek output application information karakter wayang golek nama ciri khas information karakter application alpha betha alpha application bebas salah syntax jalan sesuai fungsi betha tarik simpul mudah user friendly user information karakter seni wayang golek']"
44,67,44_dunia didik_information akademik_akademik_didik teknologi,"['dunia didik', 'information akademik', 'akademik', 'didik teknologi', 'didik', 'wali', 'skill', 'teknologi information', 'spp', 'bidang didik']","['kembang teknologi information pengaruh kembang dunia didik serta didik staf peka informasi didik teknologi internet didik daerah daerah pencil information didik pusat saing dunia didik kembang aspek tua mudah awas kembang anak monitoring web efektif tua simna asal information monitoring akademik information monitoring mudah tua monitoring akademik anak sekolah information monitoring akademik web php bahasa pemrograman codeigniter basis mysql bangun application orangtua wali siswa mudah memonitoring kembang siswa siswi mudah staf olah akurat bangun information monitoring smkn dumai web', 'kembang teknologi information komunikasi kembang tuntut aspek bidang apa implementasi teknologi information relative cepat kecuali dunia didik implementasi teknologi ajar ajar konsep ajar ajar teknologi butuh tunjang didik dunia didik indonesia tinggal negara jadi konsep didik teknologi langkah saing negara elearning singkat electronic learning ajar ajar media elektronik internet ajar dunia didik elearning jenjang guru sma tingkat smp bangun application elearning metodologi buat perangkat lunak metodologi waterfall langkah information engineering design coding maintenance bangun bahasa pemrograman php mysql database servernya ancang struktur flowmap erd dfd alat bantu rancang application bangun application elearning smk pasundan bandung sekolah golong sekolah sma pasundan bandung sma pasundan bandung minat masyarakat ypdm pasundan dasar ijin dinas didik rubah sma pasundan bandung smk pasundan bandung simpul proses application elearning smk pasundan bandung tahap baik maksimal proses fungsional output', 'kembang teknologi internet pesat sebar information komunikasi fleksibel ikat ruang teknologi internet hidup hari ubah satu bidang didik didik register sekolah ajar tatap muka alih daring guru jenjang didik gencar daring daftar nilai mudah simpan meminimalisir salah input website pmb uajy situs register daring calon milik atma jaya yogyakarta website daftar sarjana pasca sarjana website muat register info lolos seleksi bayar information detail information muat website butuh evaluasi improvisasi tampil website user mudah usability user experience mudah alam user website riset tingkat usability website pmb uajy indikator learnability website dasar alam user mudah baik website blink kedip user pasu format dropdown daerah dasar survei sus website pmb uajy milik skor sus arti taraf user puas website dasar riset user saran tampil website modern tambah section video tutorial guna website modifikasi input daerah mudah nama menu ganti registrasi login']"
45,67,45_transportasi_bus_tol_jalan tol,"['transportasi', 'bus', 'tol', 'jalan tol', 'ban', 'kendara', 'mobil', 'kendara pribadi', 'kendara motor', 'moda']","['kendara motor indonesia tingkat bps catat juta kendara motor indonesia jalan tol sayang kendara tingkat imbang kembang teknologi dukung bidang transportasi jalan tol signifikan kapasitas layan bayar jalan tol prediksi tujuh delapan user jalan tol habis kembang service bayar perangkat mobile e-obu terap teknologi multi- lane free-flow mlff upaya eliminasi antre kendara jalan tol service bayar lingkung runtime nodejs uji black box level application backend mobile load application backend di-deploy google app engine mongo database application desain arsitektur layak terap mlff indonesia catat integrasi payment gateway midtrans solusi kembang service bayar terap mlff indonesia perangkat mobile e-obu mlff layak bayar tagih guna jalan tol', 'transportasi butuh hidup hari giat manusia lepas transportasi masalah transportasi indonesia kompleks jawa timur provinsi indonesia macet macet tingkat kendara pribadi imbang tambah presentase infrastruktur jalan bangun tambah angkut pada nyaman solusi atas macet kurang kendara bagi tumpang user kendara tumpang media information information mana cepat fleksible smartphone perangkat mobile information mana mudah fleksible kembang application smartphone konsep hybrid mobile application phonegap mudah kembang application bahasa pemograman html cascading style sheets css javascript basis path white box penuh butuh fungsional tahap ancang black box validasi implementasi fungsionalitas application valid penuh butuh jabar tahap analisis butuh compatibility nyata kompatibel versi ukur layar android versi x480 pixel android versi pixel windows phone versi x480 pixel uat index presentase nilai variable perseived usefulness index presentase nilai variable perseived usefulness index presentase application bagi tumpang nyata layak terima status muas', 'pesat kembang zaman teknologi kendara motor butuh media transportasi kendara motor mati kendara pribadi praktis banding kendara kendara motor sengaja aktivitas manusia pergi efisiensi tenaga faktor kendara ban kendara bocor tengah jalan tusuk paku kena jebak tanggap buat application cari lokasi tambal ban manfaat information geografis nama cari lokasi tambal ban application android studio bahasa pemrogaman java xml mysql database php server side application tampil marker dinamis beda kategori application detail info lokasi tambal ban google maps marker ubah dinamsi servis api definisi bentuk resource gambar buat rute munuju lokasi tuju tambal ban api google google direction api sifat free trial']"
46,66,46_ajax_deteksi rentan_javascript_application web,"['ajax', 'deteksi rentan', 'javascript', 'application web', 'laravel', 'description', 'orm', 'parameter banding', 'kembang web', 'mvc']","['kerangka developer kembang kode konsisten laravel bahasa pemrograman hypertext preprocessor php taylor otwell rilis tanggal juni laravel fokus end-user fokus jelas sederhana tulis tampil fungsionalitas application web mesti laravel milik fitur modern developer application fitur bundles eloquent orm object-relational mapping query builder resource controller blade migration middleware automatic pagination laravel mudah developer manajemen aman simpan database potensi wisata kaya himpun website milik tampil tarik pilih masyarakat unjung pariwisata kabupaten karo tour guide pramuwisata pandu wisata tani bimbing info wisatawan ada giat wisata kembang wisata kabupaten karo manajemen olah information wisata calon wisatawan akses information wisata', 'iring kembang internet butuh application web interaktif muncul teknologi ajax application web baru konten muat ulang halaman hal application web ajax application lepas rentan deteksi rentan application kembang kakas deteksi rentan rentan baik application rilis kakas deteksi rentan crawling generate payload analisis respon ada ajax hadir tantang satu konten dom sifat dinamis crawling baca html ajax application dom ubah eksekusi javascript crawling kakas efektif ambil url sebab deteksi rentan hasil solusi tawar atas ajax crawler kakas deteksi rentan ajax crawler ambil url jalan event javascript rekam ubah state dom ambil url state konten dom dinamik jadi instance dom statis crawling coba ajax crawler lengkap banding crawling kakas deteksi rentan akibat ruang lingkup deteksi luas deteksi rentan bukti coba kakas deteksi rentan w3af ajax crawler temu rentan url panggil ajax temu rentan temu kakas deteksi rentan ajax crawler implementasi ajax crawler ganti crawling kakas deteksi rentan ubah generate payload analisis respon deteksi rentan ajax application', 'application web solusi modern ganti desktop run tingkat efisiensi skalabilitas aksesibilitas desktop milik batas fleksibilitas akses kelola integrasi teknologi baru kembang web arsitektur web modern optimal kembang backend bahasa pemrograman golang echo web utama redis caching tingkat performa phpmyadmin alat bantu kelola basis mysql tim frontend next javascript zustand state management tanstack query manajemen shadcn library component antarmuka metodologi kembang cakup analisis butuh ancang api implementasi fitur backend performa aman echo api bangun endpoint efisien struktur komunikasi frontend backend jalan optimal redis kurang latensi ambil tingkat responsivitas postman api jalan uji coba tim frontend evaluasi integrasi kembang web aspek cepat akses mudah integrasi efisiensi kelola information']"
47,65,47_gizi_butuh gizi_obesitas_kalori,"['gizi', 'butuh gizi', 'obesitas', 'kalori', 'asupan', 'berat badan', 'diet', 'bahan makan', 'pola makan', 'makan']","['makhluk hidup dunia butuh asupan gizi tubuh gizi terima tubuh manusia beraktifitas agam butuh gizi keluarga sebab penuh gizi anggota keluarga maksimal butuh trik benar penuh butuh gizi anggota keluarga selesai optimasi susun bahan makan algoritma genetika algoritma genetika adaptasi konsep evolusi alami populasi individu algoritma genetika solusi optimal representasi kromosom mengoptimasi susun bahan makan representasi permutasi crossover one cut point crossover mutasi exchange mutation seleksi elitism selection selesai aktual rekomendasi penuh butuh gizi energi karbohidrat keluarga hemat biaya konsumsi hari variasi makan agam generasi rata fitness populasi populasi rata fitness kombinasi crossover rate mutation rate keluar susun bahan makan penuh butuh gizi keluarga kurun harga minimum', 'makan butuh utama manusia penuh konsumsi makan sehat fungsi makan penuh butuh gizi zat gizi senyawa butuh tubuh mejalankan fungsi peran zat gizi tubuh makan tubuh perhati kandung gizi variasi makan bahanmakanan konsumsi maksimal masalah muncul pola konsumsi makan gizi imbang variasi makan banyak bahan makan butuh penuh butuh gizi tubuh harga pemenuhannnya mahal atas makan hari ganti kombinasi bahan makan mahal murah biaya keluar minimal penuh butuh gizi hari selesai masalah optimasi bahan makan keluarga butuh keluar optimal algoritma evolution strategies evolution strategies cabang algoritma evolusi angan masalah optimasi unik evolution strategies mekanisme self-adaptions kontrol strategy parameters tipe siklus representasi kromosom representasi permutasi representasi solusi mutasi exchange mutation seleksi elitism selection sesuai populasi baik rata fitness offspring baik rata fitness generasi baik rata fitness rentan permutasi baik rata fitness analisis global rekomendasi penuh butuh gizi keluarga hemat biaya konsumsi makan hari variasi makan agam susun bahan makan keluarga minggu', 'harga bahan makan indonesia tingkat masyarakat indonesia pandai siasat makan hari cukup gizi penuh biaya optimal penuh gizi gizi penuh imbang kurang hitung gizi individu gizi butuh optimasi butuh gizi alami sehat jalan diet penuh gizi hari diet orang derita diabetes mellitus perhati kandung karbohidrat derita jantung perhati asupan lemak derita hati perhati asupan protein atas masalah atas ganti kombinasi bahan makan mahal bahan makan murah jaga asupan gizi sesuai butuh algoritma evolution strategies terap kode floating point mutation elitism selection tentu kombinasi berat bahan makan penuh butuh gizi pasien komposisi bahan makan batas biaya masuk user bahan makan kandung gizi karbohidrat protein lemak bahan makan bagi jenis sakit reproduksi mutation seleksi elitism selection parameter algoritma evolution strategies ukur populasi baik individu generasi baik generasi offspring uji coba komposisi bahan makan batas toleransi cukup gizi pasien diet']"
48,65,48_bencana_gempa_tsunami_gempa bumi,"['bencana', 'gempa', 'tsunami', 'gempa bumi', 'bencana alam', 'bumi', 'korban', 'rawan', 'tanggulang', 'gunung']","['indonesia negara letak jalur ring fire cincin api cincin api jalur rangkai gunung api aktif dunia bencana gunung letus gempa bumi intai masyarakat information cepat status gunung gempa bumi kini jatuh korban jiwa akibat bencana masyarakat kenal teknologi smartphone kenal operasi android user smartphone indonesia operasi selesai application mobile wawas status kini gunung rap gempa bumi indonesia operasi android application muat information sumber web perintah bmkg pvmbg parse scraping application media information bencana cepat akurat masyarakat validasi kompatibilitas uji application application android ambil information gempa status gunung rap web scraping parsing peci sesuai spesifikasi butuh user application acu akurat status gunung gempa bumi kini penuh butuh user', 'bencana alam gempa bumi dampak masyarakat korban bencana alam akibat rugi materi non materi luput banyak nyawa manusia renggut akibat bencana alam gempa bumi dampak skala besar akibat lumpuh aktivitas ekonomi masyarakat hilang kerja perintah milik badan tanggulang bencana daerah bpbd badan tanggulang bencana daerah bpbd lembaga negara urus bencana alam skala daerah desa kait desa lombok barat kena dampak bencana gempa bumi tangan bpbd masalah bpbd desa kait sulit tentu tangan bangun dukung putus terima bantu korban bencana alam gempa website putus korban hak tangan implementasi analitycal hierarchy process ahp alternatif beri bantu parameter kriteria fungsional user browser application jalan stabil capai tingkat kerja sesuai ahp application milik selisih hitung manual desa kait meranking korban putus tangan analitical hierarchy process ahp website alternatif parameter kriteria', 'tsunami dunia indonesia timbul korban jiwa rugi material bmkg gempa bumi potensi tsunami ukur lokasi epicenter letak dasar laut dalam gempa magnitude ukur jadi tsunami bahan bumi magnitude gempa bumi klasifikasi menetukan gempa bumi laut potensi tsunami klasifikasi fuzzy nearest neighbor fk-nn deteksi potensi bencana alam tsunami parameter dalam gempa depth magnitudo momen magnitudo muka magnitudo bodi skala mmi uji latih akurasi maksimum pengaruh akurasi akurasi maksimum komposisi latih banding komposisi kelas tsunami tsunami pengaruh variasi uji latih akurasi akurasi']"
49,65,49_cloud_storage_docker_computing,"['cloud', 'storage', 'docker', 'computing', 'cloud computing', 'service cloud', 'virtual', 'container', 'simpan file', 'komputasi awan']","['lingkung cloud computing virtual kelola atur beban dinamis center fitur virtual live migration live migration guna tambah sumber daya komputasi ekspansi center pindah service center center live migration mesin virtual kontrol akibat overhead host fisik overload infrastruktur network cloud computing atas masalah timbul terap fitur live migration atas masalah live migration mesin virtual analisa klasifikasi karakteristik beban mesin virtual analisa klasifikasi rencana alokasi prediksi situasi usul mesin virtual pindah server klasifikasi beban mesin virtual mengunakan analisis kala time series beban mesin virtual beda beban periodicity burstiness beban periodicity mesin virtual beban mesin tingkat beban burstiness mesin virtual mesin sibuk temu prediktif live migration imbang beban cpu server fisik fungsional migrasi menit', 'muncul cloud computing tumbuh guna internet dorong institusi usaha alih cloud computing ada sumber daya komputasi skala iring tingkat butuh sumber daya komputasi sebab beban lebih datacenter sedia service cloud tambah datacenter pindah service pindah fitur live migration teknologi hypervisor satu hypervisor qemu-kvm jalan intersite live migration mesin virtual migrasi datacenter storage datacenter wan akibat latensi storage pindah situs menganilisis migrasi copy storage copy storage increment fitur live migration hypervisor qemu-kvm migrasi terap format virtual disk raw qcow2 ukur beda lingkung simulasi kondisi network wan copy storage copy storage increment migrasi downtime detik cepat migrasi copy storage increment gigabyte format disk raw detik format disk qcow2 cepat migrasi copy storage gigabyte detik format disk raw detik format disk qcow2', 'cloud computing alokasi sumber daya komputasi mudah sedia service internet teknologi virtual alokasi sumber daya komputasi kelola ketidakseimbangan beban server fisik virtual tangan manajemen sumber daya komputasi guna cpu live migration mesin virtual virtual server atas beban cpu server fisik load balancing load aggregation load balancing sebar beban pindah mesin virtual server fisik milik beban cpu server fisik beban cpu load aggregation deteksi turun beban cpu server fisik virtuliasasi mesin virtual gabung server fisik virtual temu optimal guna sumber daya komputasi imbang beban cpu server fisik virtual fungsional response time menit migrasi menit']"
50,64,50_gas_bakar_asap_kualitas udara,"['gas', 'bakar', 'asap', 'kualitas udara', 'mq', 'udara', 'bocor gas', 'karbon', 'bocor', 'emisi']","['bakar bocor gas ancam serius sebab rugi lingkung rumah tangga komersial teknologi iot manfaat sensor dht22 mq- flame sensor pantau kondisi dapur real-time perangkat mobile microcontroller esp32 sensor mq- identifikasi bocor gas lpg asap dht22 deteksi ubah suhu lembap flame sensor deteksi ada api tampil lcd i2c 20x4 buzzer led ingat deteksi bahaya prototipe hubung application blynk pantau real-time proyek deteksi suhu bocor gas ada asap ada api kirim notifikasi otomatis application blynk respon cepat tangan potensi bakar kembang cakup buat application tambah exhaust fan ventilasi semprot air langkah cegah bakar efektif', 'liquefied petroleum gas lpg pertamina brand elpiji gas produksi kilang minyak kilang bbm kilang gas component utama gas propana c3h8 butana c4h10 lebih gas pentana c5h12 cair bakar celaka sebab bocor ledak tabung gas lpg liquid petroleum gas kenal gas lpg liquid petroleum gas barang mewah milik kalang masyarakat kota masyarakat pelosok desa alih gas lpg kontrol monitoring gas bahaya alat deteksi gas sensor mq135 deteksi normal alarm nyala alat buzzer deteksi suhu lembap ruang sensor dht11 suhu panas kontroling kipas inlet nyala deteksi lembap kontroling kipas exhaust nyala deteksi api sensor flame detector api kontrol waterpump nyala madam api deteksi karbon dioksida co2 ruang sendor mq2 deteksi karbon monoksida sensor mq7 kirim notifikasi email monitoring ruang website ipcam sensor hasil deteksi normal kirim notifikasi email user sensor salah sensor mq- sensor mq- mq- sensor dht11', 'bakar jadi faktor bakar human error bakar timbul rugi harta benda korban jiwa masalah butuh deteksi bakar asap suhu ruang ada sumber api terap butuh kerja low power hemat konsumsi daya deteksi bakar output bakar asap rap asap rap asap output tampil lcd bunyi buzzer mikrokontoller arduino mega tanam logika fuzzy sugeno beri putus output hitung fuzzy deteksi bakar alih dalam mode sleep deteksi output asap rap asap rap asap tampil lcd bunyi buzzer manfaat kerja low power mikrokontroller arduino mega implementasi konsumsi daya hemat fitur sleep mode power mati sub jalan sesuai prinsip kerja baca sensor mq- sensor deteksi asap deteksi sensor baca sensor dht11 baca suhu ruang tingkat error baca sensor flame baca ada api jarak variasi tentu kondisi akurat fuzzy rata eksekusi konsumsi daya perangkat tekan arus 40ma 245ma terap sleep mode power']"
51,63,51_berita_koran_portal berita_information berita,"['berita', 'koran', 'portal berita', 'information berita', 'berita online', 'situs berita', 'majalah', 'running', 'peristiwa', 'portal']","['definisi berita information cepat kandung ide fakta ide fakta tarik perhati kembang pesat dunia teknologi information dokumen teks digital kembang cipta cabang ilmu cari information online dokumen berita media online tingkat cepat era information digital sulit kelola klasifikasi dokumen agam otomatisasi guna pemrosesan bahasa alami cerdas buat berita online kategori kelompok tema berita information muat dalam berita dunia teknologi information tentu kelompok dataset dokumen berita guna klastering atas bahas guna text mining text mining kategori kelas dokumen klasifikasi dokumen preprocessing hitung bobot tfidf hasil hitung cosine similarity klasifikasi dokumen k-nearest neigbours dataset teks dokumen berita label kategori k-fold cross validation fold tinggi ketetanggan nila precision recall f-measure accuracy kecil ketetangaan nila precision recall f-measure accuracy', 'mudah masyarakat information berita berita televisi berita media online banyak fasilitas dukung masyarakat baca berita sebab baca berita indonesia tingkat temu berita guna efektif buang baca isi berita masalah butuh ringkas isi berita isi berita padat ringkas isi berita maximum marginal relevance ringkas tahap preprocessing bobot tfidf bobot cosine similarity maximum marginal relevance ambil sampel berita tema covid- website sedia berita online kompas com koefisien atur baik precission recall f-measure dibaah f-measure baik stemming hasil stemming ringkas stemming', 'ringkas khatulistiwa bagaskara klasifikasi berita media online bobot term frequency elektro negeri malang bimbing aji prasetya wibawa ilham ari elbaith zaeni kunci text mining klasifikasi bobot term frequency berita jadi kemas bentuk information sebar bentuk siar cetak mulut mulut internet internet sebar berita mudah cepat banyak berita tambah internet bulan sebab berita klasifikasi sesuai isi berita atas application klasifikasi sesuai isi berita kembang klasifikasi konten berita text mining text mining mining klasifikasi teks kumpul tekstual cari pola tarik klasifikasi algoritma text mining klasifikasi naive bayes rocchio bobot term frequency sederhana efisien milik tingkat akurasi klasifikasi tahap preprocessing berita text processing tokenizing filtering sesuai sesuai butuh klasifkasi evaluasi uji algoritma confussion matrix akurasi presisi didadat kelas berita ekonomi berita politik berita hukum recall kelas berita ekonomi berita politik berita hukum']"
